"-OR-","-或者-"
"2-pixel perimeter around the header space.","在页首空白处2个像素"
"3D Secure","3D安全"
"3D Secure Card Validation","3D安全卡验证"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro卡需要3D安全验证。支持美国运通卡需要额外的协议，更多请参见<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">现在开始接受Paypal付款！</a>"
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","实时模式需要一个值。请参考您与CardinalCommerce的协议"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH寄存（异议或者其他调查）"
"ACH Deposit (Reversal)","ACH寄存（付款人撤销）"
"ACH Funding for Funds Recovery from Account Balance","从账号余额拨款以充ACH资金"
"ACH Withdrawal","ACH提款"
"API Authentication Methods","API验证方法"
"API Certificate","API证书"
"API Password","API 密码"
"API Signature","API 签名"
"API Username","API账号"
"API Uses Proxy","API使用代理"
"Ability for buyer to purchase without PayPal account.","支援没有Paypal账号付款"
"Accept credit card and PayPal payments securely.","接受信用卡和PayPal付款安全。"
"Accept credit cards, debit cards and PayPal payments securely.","接受信用卡，转账卡和PayPal付款安全。"
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","接受付款的购物车中。Payflow网关通过PayPal将处理您的信用卡付款。"
"Accept payments with a PCI compliant checkout that keeps customers on your site.","与PCI兼容结账，让您的网站上的客户接受付款。"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","与PCI兼容的结账，让您的网站上的客户接受付款。"
"Accept payments with a completely customizable checkout page.","接受一个完全可定制的结账页面付款。"
"Accept payments with a completely customizable checkout.","接受一个完全可定制的收银台付款。"
"Acceptance Mark","授权标记"
"Acceptance Mark Image","授权标记图片"
"Account-to-Account Payment, initiated by PayPal","账号到账号的付款，Paypal出品"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","加入PayPal作为一个额外的付款方式结账页面，以增加您的销售。"
"Add PayPal as an additional payment method to your checkout page.","新增贝宝作为附加付款方式结账页面。"
"Add another payment method to your existing solution or as a stand-alone option.","其他付款方式新增到您现有的解决方案，或作为一个独立的选项。"
"Additional Options","附加选项"
"Address","地址"
"Address Verification System Response","地址验证系统响应"
"Advanced Settings","高级设置"
"All the address information matched","所有地址信息已符合"
"Allow in Billing Agreement Wizard","允许自动扣款协议向导"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","允许值: ""paypal"", ""primary"" (预设), your_custom_value (客户个人资料设定的付款页面自定义风格)"
"Allowed Credit Card Types","允许的信用卡类型"
"Also affects mini-shopping cart.","对迷您购物车也有效"
"Ask Customer","询问客户"
"Attempted Authentication, Bad Result","认证时,返回数据失败"
"Attempted Authentication, Good Result","验证透过"
"Auction Payment other than through eBay","除了ebay，还有其他拍卖的付款"
"Authenticated, Bad Result","验证身份失败"
"Authenticated, Good Result","透过身份验证"
"Authorization","授权"
"Authorization Honor Period (days)","授权有效期限（天）"
"Authorization transaction is required to void.","授权交易错误"
"Authorized amount of %s.","Authorized amount of %s"
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway"
"Auto","自动"
"AutoSweep","自动清理"
"Available Balance","可用余额"
"Balance Manager Account Bonus","余额管理器账户点数"
"Basic Settings - PayPal Express Checkout","基本设置 -  PayPal快速结账"
"Basic Settings - PayPal Integral Evolution","贝宝积分的嬗变 - 基本设置"
"Basic Settings - PayPal Pasarela integral","基本设置 - 贝宝Pasarela积分"
"Basic Settings - PayPal Payflow Link","基本设置 - 贝宝Payflow连结"
"Basic Settings - PayPal Payflow Pro","基本设置 - 贝宝Payflow临"
"Basic Settings - PayPal Payments Advanced","基本设置 -  PayPal付款高级"
"Basic Settings - PayPal Payments Pro","基本设置 - 临PayPal付款"
"Basic Settings - PayPal Payments Pro Hosted Solution","基本设置 - 临托管解决方案PayPal付款"
"Basic Settings - PayPal Payments Standard","基本设置 - 标准PayPal付款"
"Basic Settings - PayPal Pro","基本设置 - 贝宝临"
"Basic Settings - PayPal Website Payments Plus","基本设置 - 贝宝网站付款加"
"Basic Settings - PayPal Website Payments Pro","基本设置 - 贝宝网站付款专业版"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","贝宝网站付款专业的托管解决方案 - 基本设置"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","贝宝网站付款专业Payflow版 - 基本设置"
"Basic Settings - PayPal Website Payments Standard","基本设置 - 贝宝网站付款标准"
"Billing Address","账单地址"
"Billing Agreement Signup","结算协议Signup"
"Bonus for first ACH Use","第一次使用ACH奖励"
"Both section above must be complete. ","两个以上的部分必须是完整的。"
"Buyer Credit Payment","客户赊欠"
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","预设为""reports.paypal.com"""
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","血液滤过数据是编辑"
"CVV2 Check Result by PayPal","CVV2 Paypal检查结果"
"Can not send new order email.","不能发送新订购信箱"
"Cannot create target file for reading reports.","不能为读取报告建立目标档案"
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel 自定 API URL"
"Charge-off","销账"
"Chargeback","退单"
"Checkout with PayPal","用Paypal结账"
"Choose a secure bundled payment solution for your business.","选择为您的企业的安全捆绑的支付解决方案。"
"City","城市"
"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds.."
"Close","关闭"
"Company","公司"
"Complaint","Complaint"
"Completion Date","完成日期"
"Configure","配置"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","连接与PCI兼容的网关，它可以让使用者无需离开您的网站支付您的商家账户。"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","连接您的商家账户，完全可定制的网关，它可以让使用者无需离开您的网站支付。"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","连结Paypal SFTP服务器取得新的报告。您确定执行吗？"
"Continue","继续"
"Countries Payment Applicable From","适合付款的国家"
"Country","国家"
"Coupon Redemption","使用优惠券"
"Credit","赊欠"
"Credit Card Settings","信用卡设定"
"Currency Conversion required to cover negative balance","货币转换需要补足账号负平衡"
"Custom","自定义"
"Custom Endpoint Hostname or IP-Address","自定义端点主机名或者IP地址"
"Custom Path","自定义路径"
"Customer Information","客户信息"
"Customer did not include a confirmed address.","客户未包含经过确认的地址"
"Daily","日常"
"Debit","借方"
"Debit Card Cash Back","转账卡现金返还"
"Debit Card Transaction","转账卡交易"
"Debit or Credit","借记或赊欠（转账卡或信用卡）"
"Debug Mode","除错模式"
"Direct Payment API","直接支付API"
"Discount","折扣"
"Display Express Checkout in the Payment Information step","显示快速结账付款信息步骤"
"Displays on catalog pages and homepage.","在产品页面和首页显示"
"Dispute","Dispute"
"Don't have a PayPal account? Simply enter your email address.","没有Paypal账号？在这里填入您的e-mail吧"
"Dynamic","动态"
"EFT Funding (German banking)","EFT返款（德国银行）"
"Edit Shopping Cart","编辑购物车"
"Email Address","电邮地址"
"Email Associated with PayPal Merchant Account","与Paypal卖家账号关联的Email地址"
"Email Associated with PayPal Merchant Account (Optional)","贝宝商家账户（可选）相关联的电子邮件"
"Enable Automatic Fetching","允许自动取得"
"Enable Express Checkout","开启快速结账"
"Enable PayPal Guest Checkout","允许Paypal非注册会员结账"
"Enable Payflow Link","开启Payflow连结"
"Enable SSL verification","开启SSL验证"
"Enable this Solution","开启此解决方案"
"Enabled","开启"
"Event","事件"
"Event Code","事件代码"
"Every 10 days","每10天"
"Every 14 days","每14天"
"Every 3 days","每3天"
"Every 30 days","每30天"
"Every 40 days","每40天"
"Every 7 days","每7天"
"Exact Match. Address and Postal Code. International","精确符合. 地址和邮政编码.国际的"
"Exact Match. Address and Postal Code. UK-specific","精确符合. 地址和邮政编码.英国专有"
"Exact Match. Address and nine-digit ZIP code","精确符合. 地址和九位数邮政编码"
"Express Checkout","快速结账"
"Express Checkout APIs","快速结账API"
"Express Checkout and Order have been canceled.","快速结账和订单已取消"
"Express Checkout has been canceled.","快速结账已取消"
"Failed to fetch reports from '%s@%s'.","从 '%s@%s' 取得报告失败"
"Fax","传真"
"Fee Amount","手续费金额"
"Fee Debit or Credit","借记或者赊欠手续费"
"Fee Reversal","取消手续费"
"Fee: Foreign ACH Withdrawal","手续费：国外ACH取款"
"Fee: Mass Pay Request","手续费：大额付款请求"
"Fee: Web Site Payments Pro Account Monthly","手续费：进阶账号按月网站付款"
"Fee: WorldLink Check Withdrawal","手续费：WorldLink支票撤销"
"Fetch","取得"
"Fetch Updates","取得更新"
"Fetched %s report rows from '%s@%s'.","已取得%s报告行（来自'%s@%s'）"
"For Virtual Quotes Only","仅对于虚拟行情"
"Frontend Experience Settings","前台体验设定"
"Funding","资金"
"General (Authorization)","常规（身份验证）"
"General (Dividend)","常规（利息）"
"General (Funds Transfer from PayPal Account to Another)","常规（从一个PayPal账户向另一个转移资金）"
"General (Purchase with a credit card)","常规（使用信用卡购买）"
"General Adjustment without businessrelated event","与业务无关的常规调整"
"General Currency Conversion","常规货币转换"
"General Funding of PayPal Account ","General Funding of PayPal Account"
"General Redemption","常规兑换"
"General Withdrawal from PayPal Account","来自PayPal账户的常规撤销"
"General. Product no longer supported","常规。产品不在被支持"
"General: Use of PayPal account for purchasing as well as receiving payments","常规：使用PayPal账户进行付款以及收款"
"General: Withdrawal from PayPal Account","常规：通过PayPal账户撤销"
"General: Withdrawal to Non-Bank Entity","常规：通过非银行实体撤销"
"General: adjustment of a type not belonging to the other T12xx categories","常规：调整为一种不再属于其他T12xx分类的类型"
"General: bonus of a type not belonging to the other T08xx categories","常规：通过一种不再属于其他T08xx类型的奖励"
"General: event not yet categorized","常规：事件尚未分类"
"General: non-payment fee of a type not belonging to the other T01xx categories","常规：一种不属于其他T01xx分类的非支付费用"
"General: received payment of a type not belonging to the other T00xx categories","常规：一种不属于其他T00xx分类的支付收款"
"General: reversal of a type not belonging to the other T11xx categories","常规：不属于其他T11xx分类的保留类型"
"General: temporary hold of a type not belonging to the other T15xx categories","常规：不属于其他T15xx分类的暂时保留类型"
"Get Credentials from PayPal","从Paypal取得证书"
"Gift Certificate Payment: purchase of Gift Certificate","礼物券付款：礼物券购买"
"Gift Certificate Redemption","使用礼物券"
"Gross Amount","总额"
"Header Background Color","页首背景颜色"
"Header Border Color","页首边框颜色"
"Header Image URL","页首图片URL"
"Help","帮助"
"Hidden Virtual PayPal Debit Card Transaction","隐藏虚拟Paypal转账卡交易"
"Hold for Dispute Investigation","异议调查冻结"
"IPN ""%s"".","IPN ""%s"""
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果空白，将使用默认值。自定义URL可以被CardinalCommerce协议支持"
"If not specified, Default Country from General Config will be used","如果未指定，将使用在<一般设定>里设定的预设国家"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","如果开启本选项，客户将可以在Paypal网站更改配送地址和配送方式。实时模式只有采用HTTPS协议生效"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","如果您没有在您的账户设立多个使用者，请重新输入您的供货商/商户登录。"
"Impossible to issue a refund transaction because the capture transaction does not exist.","不能提交退款交易，因为过账交易不存在"
"Incentive","激励"
"Initiation Date","初始化日期"
"Integral Evolution","整体演化"
"Invoice ID","发票编号"
"Issuer Liability","开票人责任"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","对于每一个商店接口，推荐设定该值为""转账卡或信用卡"""
"It is recommended to set this value to ""PayPal"" per store views.","对于每一个商店接口，推荐设定该值为""Paypal"""
"Items in Your Shopping Cart","购物车中产品"
"Last Correlation ID","最新关联编号"
"Last Transaction ID","最新交易编号"
"Learn More","了解更多"
"Login","登入"
"Mass Pay Payment","大额付款"
"Matched (CVV2)","符合的(CVV2)"
"Matched (CVV2CSC)","符合的(CVV2CSC)"
"Matched Address only (no ZIP)","只符合地址(没有邮政编码)"
"Matched Address only (no ZIP). International","只符合地址(没有邮政编码).国际的"
"Matched Postal Code only (no Address)","只符合邮政编码(不符合地址)"
"Matched five-digit ZIP only (no Address)","只符合五位数邮政编码(不符合地址)"
"Matched whole nine-didgit ZIP (no Address)","符合九位数邮政编码(没有地址)"
"Merchant Account","卖家账号"
"Merchant Country","卖家国家"
"Merchant Liability","卖家责任"
"Merchant Location","商家位置"
"Merchant Protection Eligibility","具备卖家保护资格"
"Merchant Referral Bonus","卖家推荐奖励"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","卖家为非美国账号，无退款机制"
"Merchant reference ID format is not supported.","不支持卖家关联编号格式"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","卖家需要向Paypal申请支持定期扣款功能。在Paypal确认开通您的账号定期扣款功能前，不要打开这个选项"
"Mobile Payment (made via a mobile phone)","手机付款"
"N/A","空"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. 地址未确认，或者对方无反应，服务无法使用"
"N/A. Global Unavailable","N/A.全球不可用"
"N/A. International Unavailable","N/A. 国际不可用"
