"-OR-","-或者-"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. 卖家反映卡片上无CVV2码"
"N/A. No response","N/A. 无回应"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. 不允许MOTO（网络，手机厂商）交易"
"N/A. Not processed","N/A. 未执行"
"N/A. Retry","N/A. 请重试"
"N/A. Service not Supported","N/A.服务不支持"
"N/A. Service not available","N/A.服务不存在"
"N/A. Service not supported","N/A.服务不支持"
"N/A. The merchant did not provide AVS information","N/A.卖家未提AVS信息"
"N/A. The merchant has not implemented CVV2 code handling","N/A. 卖家未执行CVV2码操作"
"N/A. Unavailable","N/A.不存在"
"Negative Balance","负数结余"
"Never","绝不"
"No","否"
"No Details matched","细节不符合"
"No Details matched. International","细节不符合.国际的"
"No Liability Shift","没有债务转移"
"No Logo","没有标示"
"No match","不符合"
"None of the address information matched","没有符合的地址信息"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","不知道使用贝宝付款方式？点选<a href="" %s""="" target="" _blank""="">这里</a>了解更多信息。"
"Note: %s","注意: %s"
"Nothing to fetch because of an empty configuration.","设定空，未取到任何值"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","请注意，Paypal最多只能处理10种物流方式。如果您设定了超过10种物流方式，Magento只会传递最便宜的10个方式给Paypal"
"Notified customer about creditmemo #%s.","客户欠款通知已完成 #%s"
"Notified customer about invoice #%s.","客户发票已发送 #%s"
"Now accepting PayPal (150 X 40)","现在接受Paypal(150 X 40)"
"Now accepting PayPal (150 X 60)","现在接受Paypal(150 X 60)"
"Number of Child Authorizations","授权子账户的数量"
"Open Authorization","开放授权"
"Order","订单"
"Order ID","订单编号"
"Order Valid Period (days)","订单有效期（天）"
"Ordered amount of %s.","Ordered amount of %s"
"Ordering amount of %s is pending approval on gateway.","Ordering amount of %s is pending approval on gateway"
"Page Background Color","页面背景色"
"Page Style","页面样式"
"Part of the address information matched","地址信息部分符合"
"Partner","合作伙伴"
"Pasarela integral","Pasarela integral"
"Password","密码"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","贝宝在支付解决方案的   <i>接受和处理信用卡和PayPal付款。</i>"
"PayPal Balance Manager function of PayPal account","Paypal账号的余额管理功能"
"PayPal Billing Agreement Settings","贝宝结算协议设置"
"PayPal Buyer Warranty Bonus","Paypal消费者质保奖励"
"PayPal Debit Card Cash Advance","Paypal转账卡取现"
"PayPal Debit Card Withdrawal from ATM","Paypal转账卡ATM机提款"
"PayPal Express Checkout","PayPal快速结账"
"PayPal Express Checkout Shortcut Wrapper","Paypal快速付款按钮"
"PayPal Express Checkout Token does not exist.","Paypal快速付款安全令牌不存在"
"PayPal Express Checkout is not enabled.","未开启PayPal快速结账。"
"PayPal Express Order Review Form","Paypal订单评论表"
"PayPal Fee Information","Paypal手续费信息"
"PayPal Merchant Pages Style","Paypal商人账号页面风格"
"PayPal Payment Gateways","贝宝支付网关"
"PayPal Payment Solutions","PayPal付款解决方案"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","Paypal产品图标"
"PayPal Protection Bonus","Paypal保护奖励"
"PayPal Reference ID","Paypal引用编号"
"PayPal Reference ID Type","Paypal引用编号类型"
"PayPal Settlement Reports","Paypal结算报告"
"PayPal certificate does not exist.","Paypal证书不存在"
"PayPal certificate file is empty.","Paypal证书档案空白"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","Paypal不支持零元订单。如欲完成您的购物，请执行标准结账程序"
"PayPal gateway has rejected request. %s","Paypal网关拒绝您的请求 %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","贝宝建议您设置其他使用者对您的账户manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","贝宝建议设立manager.paypal.com您的账户上，而不是在这里输入您的管理员用户名和密码，其他用户。这将增强您的安全和防止服务中断，如果您以后更改您的密码。如果您不想成立一个额外的使用者，您可以重新输入您的商家登录。"
"PayPal response hasn't required fields.","Paypal响应无需要的域"
"PayPal retains reports for 45 days.","Paypal保存报告45天"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce指示器"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa付款者验证服务结果"
"Payer Address ID","付款人地址编号"
"Payer Address Status","付款人地址状态"
"Payer Email","付款人Email"
"Payer ID","付款人编号"
"Payer Status","付款人状态"
"Payer is not identified.","付款人身份未确认"
"Payflow Link","payflow连结"
"Payflow Link (Includes Express Checkout)","payflow连结（包括快速结账）"
"Payflow Pro","payflow临"
"Payflow Pro (Includes Express Checkout)","payflow临（包括快速结账）"
"Payflow Pro and Express Checkout","payflow Pro和快速结账"
"Payment Action","付款操作"
"Payment Applicable From","付款适合"
"Payment Refund initiated by merchant","卖家发起退款"
"Payment has been declined. Please try again.","付款被拒绝，请重试"
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects"
"Payments Advanced","支付高级"
"Payments Advanced (Includes Express Checkout)","高级的款项（包括快速结账）"
"Payments Pro (Includes Express Checkout)","付款专业（包括快速结账）"
"Payments Pro Hosted Solution","付款专业托管解决方案"
"Payments Pro and Express Checkout","付款Pro和快速结账"
"Payments Standard","支付标准"
"Payments by PayPal (150 X 40)","用PayPal付款（150X40）"
"Payments by PayPal (150 X 60)","用PayPal付款（150X60）"
"Pending PayPal","等待PayPal"
"Place Order","提交订单"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order"
"Please do not refresh the page until you complete payment.","完成付款之前，请不要更新本页面"
"Please re-enable the previously enabled payment solutions.","请重新开启以前开启的支付解决方案。"
"Please select a shipping method...","请选择配送方式.."
"Please select region, state or province","请选择地区，州或省"
"Please update order data to get shipping methods and rates","请更新订单数据的运输方式和价格"
"Points Incentive Redemption","使用奖励点"
"Postage Payment to either USPS or UPS","付款邮资给USPS或者UPS"
"Preapproved Payment (BillUser API), either sent or received","定金付款(BillUser API), 接受或者付款"
"Preapproved Payment ID","定金付款编号"
"Price","价格"
"Pro","临"
"Process payments using your own internet merchant account.","过程中使用自己的互联网商家账户的支付。"
"Product Name","产品名称"
"Proxy Host","代理服务器"
"Proxy Port","代理服务器端口"
"Qty","数量"
"Reauthorization","重新授权"
"Reference Information","相关信息"
"Reimbursement for a chargeback.","偿付一个退单"
"Reimbursement of Chargeback","退单偿付"
"Report Date","报告日期"
"Reports","报告"
"Require CVV Entry","需要输入CVV码"
"Require Customer's Billing Address","需要客户的账单地址"
"Required PayPal Settings","需要贝宝设置"
"Required Settings","所需的设置"
"Reversal","回转"
"Reversal of General Account Hold","常规账户保持的撤销"
"Reversal of Points Usage","点数使用情况撤销"
"Reversal of an adjustment.","Reversal of an adjustment"
"Reversal of hold for Dispute Investigation","撤销保留的争议调查"
"Review Order","查看订单"
"Reward Voucher Redemption","兑换奖励券"
"SFTP Credentials","SFTP证书"
"Sale","销售"
"Sales","销售"
"Same as shipping","同为航运"
"Sandbox Credentials","沙盒证书"
"Sandbox Mode","沙盒模式"
"Schedule","日程表"
"Schedule description is too long.","日程描述太长"
"Scheduled Fetching","定期取得"
"Select a Payment Solution","选择一个支付解决方案"
"Send Email Confirmation","发送电子邮件确认"
"Server Error. Please try again.","Server Error. Please try again"
"Settlement Consolidation","结算合并"
"Settlement Report Settings","结算报告设定"
"Settlement of a chargeback.","退单结算"
"Severe 3D Secure Card Validation","3D安全卡严格验证"
"Severe Validation Removes Chargeback Liability on Merchant","严格验证移除卖家退单义务"
"Severe validation removes chargeback liability on merchant.","严格验证移除卖家退单义务"
"Shipping","配送"
"Shipping Address","配送地址"
"Shipping Method","配送方式"
"Shop now using (150 X 40)","立刻购物并使用（150X40）"
"Shop now using (150 X 60)","立刻购物并使用（150X60）"
"Shortcut","快捷方式"
"Shortcut Buttons Flavor","快捷方式按钮风格"
"Shortcut on Product View","产品浏览快捷方式"
"Shortcut on Shopping Cart","购物车快捷方式"
"Sign a billing agreement to streamline further purchases with PayPal.","在Paypal签定定期扣款协议，简化您以后的购物流程"
"Solo","Solo"
"Some PayPal solutions conflict.","一些贝宝解决方案冲突。"
"Sorry, no quotes are available for this order at this time.","抱歉，目前没有订单的报价"
"Sort Order","排序"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal"
"State/Province","州/省"
"Static","静态的"
"Street Address","街道地址"
"Street Address %s","地址%s"
"Submitting order information...","送出订单信息 .."
"Subscriber name is too long.","预约者名字太长"
"Subscription ID","预约编号"
"Subscription Payment, either payment sent or payment received","预约付款，付款或者收帐"
"Subtotal","小计"
"Summary Text for Aggregated Cart","所有购物车的文字摘要"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","支持美国运通卡需要额外协议。 进一步详情见<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>"
"Switch/Maestro","Switch/Maestro"
"Telephone","电话"
"Test Mode","测试模式"
"The background color for the checkout page around the header and payment form.","付款页面页首和付款表格的背景色"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","付款页面的背景色. Case-insensitive六位字母HTML十六进制的ASCII颜色代码"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase"
"The following error(s) occured:","发生以下错误："
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","付款页面左上的图片.最大尺寸750x90像素.鼓励 <strong style=""color:red"">https</strong>"
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached"
"The merchant account is not yet verified.","此卖家账号未被认证"
"The payment curency does not match any of the merchant\'s balances currency.","付款货币未与任何一个卖家余额的货币类型符合"
"The payment eCheck is not yet cleared.","此付款的eCheck未被清除"
"The payment is authorized but not settled.","付款被授权，但未最终偿付"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","付款被挂起，因为该付款动作指向一个未注册或确认的e-mail"
"The payment is pending while it is being reviewed by PayPal for risk.","Paypal提示存在风险，付款被挂起"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","该付款透过信用卡建立。为了接受此付款，需升级您的账号为Business或Premier状态"
"There is already another PayPal solution enabled. Enable this solution instead?","目前已开启另一家贝宝解决方案。开启此解决方案呢？"
"There was an error processing your order. Please contact us or try again later.","处理您的订单时出现错误，请联络我们或者稍后重试"
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support"
"This operation requires an existing transaction object.","This operation requires an existing transaction object"
"Time of Day","时间"
"Title","标题"
"Transaction ID","交易编号"
"Transaction ID must not be empty.","Transaction ID must not be empty"
"Transaction Information","交易信息"
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transfer Cart Line Items","传输购物车内容"
"Transfer Shipping Options","传输送货选项"
"Triggered Fraud Filters","被动触发欺骗过滤器"
"URL method for Cancel URL and Return URL","取消URL，并返回URL的URL方法"
"Unable to cancel Express Checkout.","无法取消快速结账"
"Unable to change status. Current status is not correspond to real status.","无法改变状态。目前状态与实际状态不符"
"Unable to communicate with the PayPal gateway.","无法与Paypal网关通信"
"Unable to initialize Express Checkout review.","无法初始化快速结账评论"
"Unable to initialize Express Checkout.","无法初始化快速结账"
"Unable to place the order.","无法下订单"
"Unable to process Express Checkout approval.","无法进行快速结账验证"
"Unable to start Express Checkout.","无法快速结账"
"Unable to update Order data.","Unable to update Order data"
"Unable to update shipping method.","无法更新运输方式"
"Unknown Error. Please try again later.","Unknown Error. Please try again later"
"Unknown reason. Please contact PayPal customer service.","未知原因。请联络Paypal客服"
"Update Order Data","更新订单数据"
"Use Proxy","使用代理"
"Use colon to specify port. For example: ""test.example.com:5224"".","使用冒号指定端口，比如""test.example.com:5224"""
"User","会员"
"User-initiated Currency Conversion","会员启动的货币转换"
"Uses store frontend name by default.","预设使用商店前台名字"
"VAT Number","增值税号码"
"Vendor","销售"
"View","查看"
"View Demo","查看示范"
"View Transaction","查看交易"
"View Transaction Details","参看交易详情"
"Virtual PayPal Debit Card Transaction","虚拟Paypal转账卡交易"
"Virtual Terminal Payment","虚拟终端付款"
"Void","空"
"We prefer PayPal (150 X 40)","我们喜欢PayPal（150X40）"
"We prefer PayPal (150 X 60)","我们喜欢PayPal（150X60）"
"Website Payments Plus","网站支付进阶版"
"Website Payments Pro (Includes Express Checkout)","网站付款专业版（包括快速结账）"
"Website Payments Pro Hosted Solution","网站支付专业版托管解决方案"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","网站付款专业的托管解决方案（包括快速结账）"
"Website Payments Pro Hosted Solution and Express Checkout","网站付款专业托管解决方案和快速结账"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","网站付款专业，Payflow版（包括快速结账）"
"Website Payments Pro Payflow Edition and Express Checkout","网站付款专业版Payflow和快速结账"
"Website Payments Pro and Express Checkout","网站付款专业版和快速结账"
"Website Payments Standard","网站专门付款"
"Website Payments Standard Payment","网站标准付款"
"What is PayPal?","Paypal是啥？"
"Whether to create a billing agreement, if there are no active billing agreements available.","如果无可用的自动扣款协议，是否建立新的自动扣款"
"Will appear as a payment option only for customers who have at least one active billing agreement.","只对至少有一个自动扣款协议的客户显示"
"WorldLink Withdrawal","WorldLink取款"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","为了简化您以后使用Paypal付款流程，您想签署一份自动扣款协议吗"
"Wrong PayPal Express Checkout Token specified.","错误Paypal快速结账安全令牌"
"Yes","是"
"Yes. Matched Address and five-didgit ZIP","是. 地址和五位数邮政编码符合"
"You cannot void a verification transaction","您不能使核查交易错误化"
"You will be redirected to the PayPal website in a few seconds.","您将在几秒后引导至Paypal网站"
"You will be redirected to the PayPal website when you place an order.","当您提交订单时，将被引导至Paypal网站"
"You will be redirected to the PayPal website.","您将被引导至Paypal网站"
"You will be required to enter your payment details after you place an order.","提交订单之后，您需要输入您的详细付款讯息"
"Zip/Postal Code","邮政编码"
"eBay Auction Payment","eBay拍卖付款"
